movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
The Taking of Pelham 123,2009,Action,110000000,86912058,8726975,1845490,Denzel Washington,2009-06-12,Contemporary Fiction,Live Action,Remake,106,Tony Scott,Columbia Pictures,0
Friday the 13th,2009,Horror,17000000,27668218,8666936,710447,Aaron Yoo,2009-02-13,Fantasy,Live Action,Spin-Off,97,Steve Jablonsky,,1
17 Again,2009,Comedy,40000000,75307837,8555609,2052241,Zac Efron,2009-04-17,Fantasy,Live Action,Original Screenplay,,Burr Steers,,0
The Final Destination,2009,Horror,40000000,120906927,8863693,792720,,2009-08-28,Fantasy,Live Action,Original Screenplay,,David R. Ellis,,1
The Time Traveler's Wife,2009,Drama,39000000,38917289,8455313,1678166,Rachel McAdams,2009-08-14,Science Fiction,Live Action,Based on Fiction Book/Short Story,107,Robert Schwentke,New Line Cinema,0
Brüno,2009,Comedy,42000000,70733713,8007271,809201,Sacha Baron Cohen,2009-07-10,Contemporary Fiction,Live Action,Based on TV,82,Larry Charles,Universal Pictures,0
Bride Wars,2009,Comedy,30000000,56434914,7828735,2118940,Kristen Johnston,2009-01-09,Contemporary Fiction,Live Action,Original Screenplay,,,,0
The Haunting in Connecticut,2009,Horror,0,23369006,7385269,1503300,Erik Berg,2009-03-27,Contemporary Fiction,Live Action,Based on Real Life Events,,Peter Cornwell,Gold Circle Films,0
Ghosts of Girlfriends Past,2009,Romantic Comedy,0,47262776,7366670,1614543,Matthew McConaughey,2009-05-01,Fantasy,Live Action,Original Screenplay,,Mark Waters,,0
Funny People,2009,Comedy,72500000,20025260,6914006,852601,Jonah Hill,2009-07-31,Contemporary Fiction,Live Action,Original Screenplay,146,Judd Apatow,Universal Pictures,0
My Bloody Valentine,2009,Horror,14000000,51290050,6872794,1140109,Jaime King,2009-01-16,Contemporary Fiction,Live Action,Remake,101,Patrick Lussier,,0
Land of the Lost,2009,Comedy,100000000,20110271,6591783,1517941,Matt Lauer,2009-06-05,Fantasy,Live Action,Based on TV,102,Brad Silberling,Universal Pictures,0
My Sister's Keeper,2009,Drama,27500000,47472772,6560031,1708798,Cameron Diaz,2009-06-26,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,109,Nick Cassavetes,New Line Cinema,0
Underworld 3: Rise of the Lycans,2009,Action,35000000,43300000,6106975,2520335,Michael Sheen,2009-01-23,Fantasy,Live Action,Original Screenplay,,,,1
Confessions of a Shopaholic,2009,Romantic Comedy,0,63750351,5903647,1261784,Julie Hagerty,2009-02-13,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,102,P.J. Hogan,Jerry Bruckeimer Films,0
Year One,2009,Comedy,60000000,14267444,5778304,1096865,Michael Cera,2009-06-19,Historical Fiction,Live Action,Original Screenplay,97,Harold Ramis,Columbia Pictures,0
The Unborn,2009,Horror,16000000,35538402,5689388,698023,Odette Yustman,2009-01-09,Fantasy,Live Action,Original Screenplay,,David Goyer,,0
Drag Me To Hell,2009,Horror,30000000,49287862,5613417,958830,Reggie Lee,2009-05-29,Fantasy,Live Action,Original Screenplay,,Sam Raimi,Mandate Pictures,0
Orphan,2009,Drama,20000000,36741122,5546167,1017997,Vera Farmiga,2009-07-24,Contemporary Fiction,Live Action,Original Screenplay,,,,0
Duplicity,2009,Thriller/Suspense,60000000,40506741,5409710,720628,Christopher Denham,2009-03-20,Contemporary Fiction,Live Action,Original Screenplay,,,,0
State of Play,2009,Thriller/Suspense,60000000,51814255,4935727,1106798,Rachel McAdams,2009-04-17,Contemporary Fiction,Live Action,Based on TV,127,Kevin MacDonald,Universal Pictures,0
Notorious,2009,Drama,19000000,8161469,4912491,1361721,Angela Bassett,2009-01-16,Dramatization,Live Action,Based on Real Life Events,122,"George Tillman, Jr",Fox Searchlight,0
The Pink Panther 2,2009,Comedy,0,34100000,4789730,469549,Steve Martin,2009-02-06,Contemporary Fiction,Live Action,,,Marty Eli Schwartz,,1
Cloudy with a Chance of Meatballs,2009,Comedy,100000000,111957402,76725,4113153,Neil Patrick Harris,2009-09-18,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,90,Christopher Miller,Columbia Pictures,0
