movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
The Change-Up,2011,Comedy,52000000,38753649,4676100,1044149,Ryan Reynolds,2011-08-05,Contemporary Fiction,Live Action,Original Screenplay,114,David Dobkin,Relativity Media,0
Fast Five,2011,Action,125000000,420132129,26461245,2909676,Vin Diesel,2011-04-29,Contemporary Fiction,Live Action,Based on Factual Book/Article,130,Justin Lin,Universal,1
Bridesmaids,2011,Comedy,32500000,120420305,21324933,5374869,Kristen Wiig,2011-05-13,Contemporary Fiction,Live Action,Original Screenplay,120,Paul Feig,Universal,0
The Thing,2011,Horror,38000000,10573144,2134762,330549,Mary Elizabeth Winstead,2011-10-14,Fantasy,Live Action,Remake,102,Matthjs Van Heijnngen,Universal,1
The Girl with the Dragon Tattoo,2011,Thriller/Suspense,90000000,136858177,7009442,1815889,Daniel Craig,2011-12-20,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,160,Steven Zaillian,Columbia Pictures,0
"The Twilight Saga: Breaking Dawn, Part 1",2011,Drama,127500000,408132918,34745364,6299448,Kristen Stewart,2011-11-18,Fantasy,Live Action,Based on Fiction Book/Short Story,117,Bill Condon,Temple Hill Entertainment,1
Frankenweenie,2011,Comedy,39000000,45863000,4388659,890540,Catherine O'Hara,2012-10-05,Fantasy,Stop-Motion Animation,Based on Short Film,87,Tim Burton,Walt Disney Pictures,0
John Carter,2011,Adventure,275000000,209719421,9178226,1386330,Taylor Kitsch,2012-03-09,Science Fiction,Live Action,Based on Fiction Book/Short Story,132,Andrew Stanton,Walt Disney Pictures,0
Dolphin Tale,2011,Drama,37000000,23781945,9074879,2622195,"Harry Connick, Jr.",2011-09-23,Dramatization,Live Action,Based on Real Life Events,112,Charles Martin Smith,Alcon Entertainment,0
The Apparition,2011,Horror,17000000,1972848,620203,,Ashley Greene,2012-08-24,Contemporary Fiction,Live Action,Original Screenplay,82,Todd Lincoln,Warner Bros,0
Edge of Tomorrow,2011,Action,178000000,264200000,12265147,733252,Bill Paxton,2014-06-06,Science Fiction,Live Action,Based on Comic/Graphic Novel,136,Doug Liman,Warner Bros.,0
Bad Teacher,2011,Comedy,19000000,115156141,12647270,876289,Cameron Diaz,2011-06-24,Contemporary Fiction,Live Action,Original Screenplay,92,Jake Kasdan,Sony Pictures,0
One Day,2011,Drama,15000000,45324921,1745746,,Anne Hathaway,2011-08-19,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,107,Lone Scherfig,Random House Films,0
One for the Money,2011,Comedy,42000000,9782694,3318407,650094,Katherine Heigl,2012-01-27,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,106,Julie Anne Robinson,Lionsgate,0
Rise of the Planet of the Apes,2011,Adventure,93000000,306100000,22290061,2741269,James Franco,2011-08-05,Science Fiction,Animation/Live Action,Remake,120,Karma Tentrin,20th Century Fox,0
Celeste and Jesse Forever,2011,Romantic Comedy,840000,684282,389875,,Rashida Jones,2012-08-03,Contemporary Fiction,Live Action,Original Screenplay,91,Lee Toland Krieger,Envision Media,0
21 Jump Street,2011,Comedy,42000000,64364762,17392922,2550124,Jonah Hill,2012-03-16,Contemporary Fiction,Live Action,Based on TV,109,Patrick Hasburg,Columbia Pictures,0
2 Days in New York,2011,Romantic Comedy,0,6785462,79548,,Julie Delpy,2012-08-10,Contemporary Fiction,Live Action,Original Screenplay,91,Julie Delpy,Polaris,1
Casa de mi Padre,2011,Comedy,6000000,2537469,742397,268677,Will Ferrell,2012-03-16,Contemporary Fiction,Live Action,Original Screenplay,84,Darlene Caamano Loquet,Nala Films,0
30 Minutes or Less,2011,Comedy,28000000,3912792,4672625,671840,Jesse Eisenberg,2011-08-12,Contemporary Fiction,Live Action,Original Screenplay,83,Ruben Fleischer,Columbia Pictures,0
The Three Musketeers,2011,Adventure,90000000,119500000,2569291,399261,Milla Jovovich,2011-10-21,Historical Fiction,Live Action,Based on Fiction Book/Short Story,102,Paul W.S. Anderson,Constantin Film,0
The Three Stooges,2011,Comedy,30000000,9463420,5570128,1112764,Jennifer Hudson,2012-04-13,Contemporary Fiction,Live Action,Remake,92,Peter Farrelly,Conundrum Entertainment,0
The Five-Year Engagement,2011,Romantic Comedy,30000000,26032653,3605563,306281,Jason Segel,2012-04-27,Contemporary Fiction,Live Action,Original Screenplay,124,Nicholas Stoller,Universal Pictures,0
Anchorman 2: The Legend Continues,2011,Comedy,50000000,44833047,13371890,461369,Christina Applegate,2013-12-18,Historical Fiction,Live Action,Original Screenplay,118,Adam McKay,Gary Sanchez Productions,1
Being Flynn,2011,Comedy,0,599554,67858,,Paul Dano,2012-03-02,Contemporary Fiction,Live Action,Original Screenplay,101,Paul Weitz,Depth of Field,0
Hitchcock,2011,Drama,0,16800000,689559,,Anthony Hopkins,2012-11-23,Dramatization,Live Action,Based on Factual Book/Article,98,Sacha Gervasi,Fox Searchlight,0
Abraham Lincoln: Vampire Hunter,2011,Horror,67500000,71952537,4713459,639299,Benjamin Walker,2012-06-22,Fantasy,Live Action,Based on Fiction Book/Short Story,105,Timur Bekmambetov,20th Century Fox,0
Anonymous,2011,Thriller/Suspense,27500000,11352217,562836,,Edward Hogg,2011-10-28,Historical Fiction,Live Action,Original Screenplay,130,Roland Emmerich,Columbia Pictures,0
Dark Shadows,2011,Black Comedy,150000000,156800000,10015973,1320328,Johnny Depp,2012-05-11,Fantasy,Live Action,Based on TV,112,Tim Burton,Warner Bros,0
Stoker,2011,Drama,12000000,10376183,209486,,Mia Wasikowska,2013-03-01,Contemporary Fiction,Live Action,Original Screenplay,100,Chan-wook Park,Scott Free,0
Cloud Atlas,2011,Drama,102000000,103564882,3379804,575890,Tom Hanks,2012-10-26,Multiple Creative Types,Live Action,Based on Fiction Book/Short Story,172,Andy Wachowski,Warner Bros,0
Colombiana,2011,Thriller/Suspense,40000000,35629408,4623689,651415,Zoe Saldana,2011-08-26,Contemporary Fiction,Live Action,Original Screenplay,107,Olivier Megaton,Europacorp,0
Contagion,2011,Thriller/Suspense,60000000,61893497,9540743,996117,Gwyneth Paltrow,2011-09-09,Science Fiction,Live Action,Original Screenplay,105,Steven Soderbergh,Warner Bros,0
The Company You Keep,2011,Thriller/Suspense,0,8500007,631296,,Robert Redford,2013-04-05,Contemporary Fiction,Live Action,Original Screenplay,125,Robert Redford,Voltage Pictures,0
Cosmopolis,2011,Thriller/Suspense,0,2644763,93421,,Robert Pattinson,2012-08-17,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,109,Don DeLillo,Paulo Branco,0
Jumping the Broom,2011,Romantic Comedy,7000000,863207,4703076,576545,Angela Bassett,2011-05-06,Contemporary Fiction,Live Action,Original Screenplay,107,Salim Akil,Stage 6 Films,0
X-Men: First Class,2011,Action,160000000,209000000,18462585,2479479,James McAvoy,2011-06-03,Super Hero,Live Action,Based on Comic/Graphic Novel,132,Matthew Vaughn,Marvel Studios,1
The Double,2011,Thriller/Suspense,0,39546,12561,186702,Richard Gere,2011-10-28,Contemporary Fiction,Live Action,Original Screenplay,98,Michael Brandt,Hyde Park Entertainment,0
Drive,2011,Action,15000000,42994136,4392565,766514,Ryan Gosling,2011-09-16,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,100,Nicolas Winding Refn,Bold Films,0
Man on a Ledge,2011,Thriller/Suspense,42000000,27068337,2339195,376183,Titus Welliver,2012-01-27,Contemporary Fiction,Live Action,Original Screenplay,102,Asger Leth,Summit Entertainment,0
The Son of No One,2011,Drama,15000000,1117898,3868,97017,Channing Tatum,2011-11-04,Contemporary Fiction,Live Action,Original Screenplay,93,Dito Montiel,Anchor Bay Films,0
Young Adult,2011,Comedy,12000000,6438785,1521030,246559,Charlize Theron,2011-12-09,Contemporary Fiction,Live Action,Original Screenplay,94,Suzanne Smith,Paramount Pictures,0
Hysteria,2011,Romantic Comedy,0,9580044,419245,,Maggie Gyllenhaal,2012-05-18,Historical Fiction,Live Action,Original Screenplay,95,Tanya Wexler,Informant Media,0
My Week with Marilyn,2011,Drama,10000000,19643167,1126824,444075,Michelle Williams,2011-11-23,Historical Fiction,Live Action,Based on Real Life Events,99,Simon Curtis,Weinstein Company,0
Reign of Assassins,2011,Action,0,11354230,,,,,Historical Fiction,Live Action,Original Screenplay,,,,0
The Man with the Iron Fists,2011,Action,15000000,6384898,1964081,385353,Rick Yune,2012-11-02,Contemporary Fiction,Live Action,Original Screenplay,95,RZA,Universal Pictures,0
The Wolf of Wall Street,2011,Black Comedy,100000000,275076029,7764510,1217118,Leonardo DiCaprio,2013-12-25,Dramatization,Live Action,Based on Factual Book/Article,165,Martin Scorsese,Appian Way,0
Like Crazy,2011,Drama,250000,336098,424716,,Anton Yelchin,2011-10-28,Contemporary Fiction,Live Action,Original Screenplay,89,Drake Doremus,Paramount Vantage,0
The Woman in Black,2011,Thriller/Suspense,15000000,74622608,6825790,540672,Daniel Radcliffe ,2012-02-03,Fantasy,Live Action,Based on Fiction Book/Short Story,95,James Watkins,Alliance Films,0
Trespass,2011,Thriller/Suspense,0,769716,2120,163309,Nicolas Cage,2011-10-14,Contemporary Fiction,Live Action,Original Screenplay,90,Joel Schumacher,Millennium Films,0
War Horse,2011,Drama,70000000,76932170,5101106,1738043,Jeremy Irvine,2011-12-25,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,146,Steven Spielberg,DreamWorks Pictures,0
Premium Rush,2011,Thriller/Suspense,35000000,11117755,2547166,387881,Joseph Gordon-Levitt,2012-08-24,Contemporary Fiction,Live Action,Original Screenplay,91,David Koepp,Columbia Pictures,0
Friends with Benefits,2011,Romantic Comedy,35000000,90793137,7036917,1425403,Mila Kunis,2011-07-22,Contemporary Fiction,Live Action,Original Screenplay,109,Will Gluck,Sony Pictures,0
New Year's Eve,2011,Romantic Comedy,26000000,89119261,5800674,856535,Michelle Pfeiffer,2011-12-09,Contemporary Fiction,Live Action,Original Screenplay,117,Garry Marshall,New Line Cinema,0
Sherlock Holmes: A Game of Shadows,2011,Action,125000000,348815025,16507408,4473988,"Robert Downey, Jr.",2011-12-16,Historical Fiction,Live Action,Based on Fiction Book/Short Story,129,Guy Ritchie,Warner Bros.,1
Jack and Jill,2011,Comedy,79000000,76361060,9041317,818687,Katie Holmes,2011-11-11,Contemporary Fiction,Live Action,Original Screenplay,90,Dennis Dugan,Columbia Pictures,0
Spy Kids: All the Time in the World,2011,Adventure,27000000,42144807,4859568,,Rowen Blanchard,2011-08-19,Kids Fiction,Live Action,Original Screenplay,89,Robert Rodriguez,Troublemaker Studios,1
Mission: Impossible - Ghost Protocol,2011,Action,145000000,485315327,16696858,1822983,Tom Cruise,2011-12-21,Contemporary Fiction,Live Action,Based on TV,132,Brad Bird,Paramount Pictures,1
Quartet,2011,Comedy,11000000,37790578,2261790,168693,Maggie Smith,2013-01-11,Contemporary Fiction,Live Action,Based on Play,99,Dustin Hoffman,BBC Films,0
Flypaper,2011,Comedy,0,279669,155,,Ashley Judd,2011-08-19,Contemporary Fiction,Live Action,Original Screenplay,87,Rob Minkoff,Foresight Unlimited,0
Men in Black 3,2011,Adventure,215000000,475192631,22490057,1993806,Bill Hader,2012-05-25,Science Fiction,Animation/Live Action,Based on Comic/Graphic Novel,104,Barry Sonnenfeld,Columbia Pictures,1
Albert Nobbs,2011,Drama,7500000,5524307,378730,,Glenn Close,2011-12-21,Historical Fiction,Live Action,Based on Fiction Book/Short Story,113,Rodrigo Garcia,Liddell Entertainment,0
