movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Lincoln,2011,Drama,65000000,91138308,18101638,2047978,Daniel Day-Lewis,2012-11-09,Dramatization,Live Action,Based on Fiction Book/Short Story,149,Steven Spielberg,DreamWorks Pictures,0
The Smurfs,2011,Adventure,110000000,421135165,17984130,2360392,Alan Cumming,2011-07-29,Kids Fiction,Animation/Live Action,Based on Comic/Graphic Novel,103,Raja Gosnell,Sony Pictures Animation,0
Harry Potter and the Deathly Hallows: Part II,2011,Adventure,125000000,960500000,48046811,7618803,Josh Herdman,2011-07-15,Fantasy,Animation/Live Action,Based on Fiction Book/Short Story,131,David Yates,Warner Bros,1
Transformers: Dark of the Moon,2011,Action,195000000,771400000,44437647,3630842,Shia LaBeouf,2011-06-29,Science Fiction,Animation/Live Action,Based on TV,154,Michael Bay,Paramount Pictures,1
Thor,2011,Action,150000000,268295994,22828578,2407787,Kelly Hawthorne,2011-05-06,Super Hero,Live Action,Based on Comic/Graphic Novel,113,Kenneth Branagh,Marvel Studios,0
Sucker Punch,2011,Action,75000000,53365887,4589218,708039,Abbie Cornish,2011-03-25,Fantasy,Live Action,Original Screenplay,110,Zack Snyder,Warner Bros,0
Green Lantern,2011,Action,200000000,114600000,14703804,1764190,Tim Robbins,2011-06-17,Super Hero,Animation/Live Action,Based on Comic/Graphic Novel,113,Martin Campbell,De Line Pictures,0
The Hangover Part II,2011,Comedy,80000000,332000000,32088815,3769719,Zach Galifianakis,2011-05-26,Contemporary Fiction,Live Action,Original Screenplay,102,Todd Phillips,Warner Bros,1
Battleship,2011,Action,209000000,239984828,8195150,1141462,Liam Neeson,2012-05-18,Contemporary Fiction,Live Action,Based on Game,130,Brian Goldner,Universal Pictures,0
Puss in Boots,2011,Adventure,130000000,405726973,18345984,3040227,Antonio Banderas,2011-10-28,Kids Fiction,Digital Animation,Spin-Off,90,Joe M. Aguilar,Paramount Pictures,0
Hotel Transylvania,2011,Comedy,85000000,197594315,18363361,3388055,Adam Sandler,2012-09-28,Kids Fiction,Digital Animation,Original Screenplay,91,Genndy Tartakovsky,Columbia Pictures,0
Rio,2011,Adventure,90000000,343900000,18110946,5457070,Anne Hathaway,2011-04-15,Kids Fiction,Digital Animation,Original Screenplay,96,Bruce Anderson,20th Century Fox Animation,0
A Thousand Words,2011,Comedy,40000000,1170300,2317855,296059,Eddie Murphy,2012-03-09,Contemporary Fiction,Live Action,Original Screenplay,91,Brian Robbins,DreamWorks Pictures,0
Life of Pi,2011,Drama,120000000,483000000,11437121,1536374,Suraj Sharma,2012-11-21,Fantasy,Live Action,Based on Fiction Book/Short Story,125,Ang Lee,Fox 2000 Pictures,0
Cowboys and Aliens,2011,Action,163000000,75669764,12640674,1780282,Olivia Wilde,2011-07-29,Science Fiction,Live Action,Based on Comic/Graphic Novel,118,Jon Favreau,DreamWorks,0
Kung Fu Panda 2,2011,Adventure,150000000,499588484,20838469,2338996,Dustin Hoffman,2011-05-26,Kids Fiction,Digital Animation,Original Screenplay,90,Melissa Cobb,DreamWorks Animation,1
Hugo,2011,Adventure,180000000,106183277,6236343,1204247,Ben Kingsley,2011-11-23,Fantasy,Animation/Live Action,Based on Fiction Book/Short Story,126,Martin Scorsese,GK Films,0
Sin City: A Dame to Kill For,2011,Action,65000000,25741545,1683941,225916,Jessica Alba,2014-08-22,Fantasy,Live Action,Based on Comic/Graphic Novel,101,Frank Miller,Troublemaker Studios,1
Cars 2,2011,Adventure,200000000,368704508,24142607,5986286,Owen Wilson,2011-06-24,Kids Fiction,Digital Animation,Original Screenplay,107,Brad Lewis,Disney-Pixar,1
Captain America: The First Avenger,2011,Action,140000000,193915271,22276734,2703619,Hugo Weaving,2011-07-22,Super Hero,Live Action,Based on Comic/Graphic Novel,124,Joe Johnston,Paramount Pictures,0
Rango,2011,Adventure,135000000,122246993,15543200,1695446,Johnny Depp,2011-03-04,Kids Fiction,Digital Animation,Original Screenplay,107,Gore Verbinski,Paramount Pictures,0
Pirates of the Caribbean: On Stranger Tides,2011,Adventure,250000000,804600000,30398975,1906856,Johnny Depp,2011-05-20,Fantasy,Live Action,Based on Theme Park Ride,136,Rob Marshall,Walt Disney Pictures,1
Underworld: Awakening,2011,Action,70000000,98058891,7829276,1151682,Kate Beckinsale,2012-01-20,Fantasy,Live Action,Original Screenplay,89,Mans Marlind,Screen Gems,1
Happy Feet Two,2011,Adventure,135000000,93950000,7668117,1497795,Hank Azaria,2011-11-18,Kids Fiction,Digital Animation,Original Screenplay,99,George Miller,VR Mumble 2 Productions Pty Ltd.,1
Arthur Christmas,2011,Adventure,85000000,103254655,5778087,832269,James McAvoy,2011-11-23,Kids Fiction,Digital Animation,Original Screenplay,100,Sarah Smith,Aardman Animations,0
The Adventures of Tintin,2011,Adventure,130000000,296402120,5986777,1201985,Tony Curran,2011-12-21,Contemporary Fiction,Digital Animation,Based on Comic/Graphic Novel,104,Steven Spielberg,Paramount Pictures,0
Doctor Seuss' The Lorax,2011,Adventure,67500000,136946253,26888253,5557003,Danny De Vito,2012-03-02,Kids Fiction,Digital Animation,Based on Fiction Book/Short Story,101,Chris Renaud,Chris Meledandri,0
Immortals,2011,Action,75000000,128058418,10423329,1180662,Henry Cavill,2011-11-11,Fantasy,Live Action,Based on Folk Tale/Legend/Fairytale,110,Gianni Nunnari,Relativity Media,0
