1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
100,98.4848484848,97.7272727273,96.9696969697,96.2121212121,94.696969697,93.1818181818,93.1818181818,91.6666666667,92.2727272727,90.1515151515,89.3939393939,89.3939393939,89.3939393939,90.1515151515,90.1515151515,90.1515151515,90.1515151515,90.9090909091,91.6666666667,91.6666666667,91.6708903009
100,96.835443038,95.8860759494,95.5696202532,93.6708860759,92.7215189873,92.0886075949,91.1392405063,89.5569620253,89.1772151899,88.6075949367,87.9746835443,87.9746835443,86.0759493671,84.4936708861,84.1772151899,83.2278481013,82.9113924051,82.2784810127,81.3291139241,81.0126582278,80.060623169
100,102.1739130435,102.8985507246,103.2608695652,104.5289855072,105.4347826087,106.1594202899,106.7028985507,107.9710144928,107.9710144928,108.8768115942,109.4202898551,109.4202898551,110.5072463768,111.231884058,111.4130434783,111.9565217391,112.1376811594,112.3188405797,112.6811594203,112.8623188406,113.4032351515
