[14449.5, u'torvalds']
[9.4347826086956523, u'3rd-Eden']
[9.1666666666666661, u'kevinsawicki']
[9.0, u'benbalter']
[8.8666666666666671, u'purcell']
[8.6666666666666661, u'aaronpk']
[8.6428571428571423, u'steveklabnik']
[8.5909090909090917, u'pippinsplugins']
[8.5833333333333339, u'curran']
[8.3000000000000007, u'alanhamlett']
[8.1785714285714288, u'matthewmccullough']
[8.125, u'tenderlove']
[8.0800000000000001, u'tokuhirom']
[7.7999999999999998, u'tqchen']
[7.6470588235294121, u'shama']
[7.4090909090909092, u'davecheney']
[7.0, u'ddollar']
[6.833333333333333, u'aslakhellesoy']
[6.5499999999999998, u'PaulKinlan']
[6.4827586206896548, u'kazuho']
[6.4800000000000004, u'mikolalysenko']
[6.2068965517241379, u'c9s']
[6.0333333333333332, u'jlord']
[5.8888888888888893, u'andrew']
[5.882352941176471, u'indirect']
[5.8461538461538458, u'kana']
[5.8181818181818183, u'dominictarr']
[5.75, u'arunoda']
[5.7058823529411766, u'Seldaek']
[5.7037037037037033, u'Ocramius']
[5.5517241379310347, u'michalbe']
[5.4117647058823533, u'mattdesl']
[5.125, u'appleboy']
[5.0952380952380949, u'hemanth']
[5.0666666666666664, u'arun-gupta']
[4.7999999999999998, u'paulcbetts']
[4.7272727272727275, u'nathansobo']
[4.6785714285714288, u'alex']
[4.5999999999999996, u'frsyuki']
[4.4666666666666668, u'sahat']
[4.333333333333333, u'joyeecheung']
[4.2666666666666666, u'parkr']
[4.166666666666667, u'mikermcneil']
[4.1111111111111107, u'sorah']
[4.0, u'yiminghe']
[3.8333333333333335, u'STRML']
[3.6428571428571428, u'shoshindes']
[3.6206896551724137, u'STRd6']
[3.3636363636363638, u'vladikoff']
[3.2692307692307692, u'sebmck']
[3.1428571428571428, u'mli']
[3.0714285714285716, u'samdark']
[2.9333333333333331, u'soimort']
[2.7777777777777777, u'spicyj']
[2.7333333333333334, u'zpao']
[2.1000000000000001, u'rafaelfranca']
[1.8823529411764706, u'gdi2290']
[1.8333333333333333, u'jiyinyiyong']
[1.7777777777777777, u'stof']
[1.7666666666666666, u'jamesward']
[1.5714285714285714, u'sokra']
[1.4615384615384615, u'stefanpenner']
[1.4375, u'rwaldron']
[1.2941176470588236, u'weaverryan']
[1.0, u'lsmith77']
[1.0, u'fengmk2']
